/var/spool/slurmd/job1006452/slurm_script: line 8: conda: command not found
/scrtp/avon/eb/software/SciPy-bundle/2022.05-foss-2022a/lib/python3.10/site-packages/scipy/__init__.py:146: UserWarning: A NumPy version >=1.17.3 and <1.25.0 is required for this version of SciPy (detected version 1.26.4
  warnings.warn(f"A NumPy version >={np_minversion} and <{np_maxversion}"
Epoch 500, normalising constant 1.0027546882629395 0.018954992294311523
run 5 cop_u 1 DONE 1845.9049
Epoch 100, normalising constant 1.0048431158065796 0.001185595989227295
Epoch 200, normalising constant 1.0027544498443604 0.0011301040649414062
Epoch 300, normalising constant 1.0003423690795898 0.0012648701667785645
Epoch 400, normalising constant 0.9976825714111328 -0.024450957775115967
Epoch 500, normalising constant 0.9957719445228577 0.04013031721115112
run 5 cop_u 2 DONE 1362.327
Epoch 100, normalising constant 1.0127352476119995 0.014574408531188965
Epoch 200, normalising constant 1.0122625827789307 0.019370079040527344
Epoch 300, normalising constant 1.011971116065979 -0.012520909309387207
Epoch 400, normalising constant 1.011677622795105 0.025266587734222412
Epoch 500, normalising constant 1.0113316774368286 -0.04483950138092041
run 5 cop_u 3 DONE 3879.166
Epoch 100, normalising constant 1.0119833946228027 0.0005930066108703613
Epoch 200, normalising constant 1.003822922706604 -0.03280287981033325
Epoch 300, normalising constant 0.999388575553894 -0.028847694396972656
Epoch 400, normalising constant 0.9965792894363403 0.02051067352294922
Epoch 500, normalising constant 0.9941093921661377 0.03554195165634155
run 6 cop_u 0 DONE 2128.2183
Epoch 100, normalising constant 1.002111792564392 0.0016411542892456055
Epoch 200, normalising constant 0.9990143179893494 0.0012494325637817383
Epoch 300, normalising constant 0.996873140335083 -0.01567542552947998
Epoch 400, normalising constant 0.9938836693763733 0.015053629875183105
Epoch 500, normalising constant 0.9910878539085388 -0.023232996463775635
run 6 cop_u 1 DONE 2158.2295
Epoch 100, normalising constant 1.003273844718933 0.0010579228401184082
Epoch 200, normalising constant 1.0019670724868774 0.000298917293548584
Epoch 300, normalising constant 0.9996211528778076 -0.028625905513763428
Epoch 400, normalising constant 0.998273491859436 0.018633544445037842
Epoch 500, normalising constant 0.9975621700286865 0.02907252311706543
run 6 cop_u 2 DONE 1619.0079
Epoch 100, normalising constant 1.0086208581924438 0.0011928081512451172
Epoch 200, normalising constant 1.0072791576385498 0.003377199172973633
Epoch 300, normalising constant 1.0088109970092773 0.009385168552398682
Epoch 400, normalising constant 1.0098779201507568 -0.019629299640655518
Epoch 500, normalising constant 1.0105862617492676 -0.0104522705078125
run 6 cop_u 3 DONE 2065.7998
Epoch 100, normalising constant 1.0102880001068115 0.0016403794288635254
Epoch 200, normalising constant 1.0013792514801025 -0.03176987171173096
Epoch 300, normalising constant 0.9955498576164246 0.02327662706375122
Epoch 400, normalising constant 0.9922975897789001 -0.009631454944610596
Epoch 500, normalising constant 0.9904403686523438 -0.031565189361572266
run 7 cop_u 0 DONE 3534.6245
Epoch 100, normalising constant 0.9998617172241211 0.0006082057952880859
Epoch 200, normalising constant 0.9953719973564148 -0.014835953712463379
Epoch 300, normalising constant 0.9921807050704956 -0.026350438594818115
Epoch 400, normalising constant 0.9901770949363708 0.008681416511535645
Epoch 500, normalising constant 0.9885469079017639 0.034823060035705566
run 7 cop_u 1 DONE 1875.5975
Epoch 100, normalising constant 1.0211063623428345 -0.00011450052261352539
Epoch 200, normalising constant 1.018507480621338 -0.013612508773803711
Epoch 300, normalising constant 1.0138510465621948 0.006350040435791016
Epoch 400, normalising constant 1.010320782661438 0.04160964488983154
Epoch 500, normalising constant 1.0082755088806152 -0.027814090251922607
run 7 cop_u 2 DONE 1901.4204
Epoch 100, normalising constant 1.0031888484954834 -0.0010793209075927734
Epoch 200, normalising constant 1.001865267753601 -0.0011115074157714844
Epoch 300, normalising constant 1.0000083446502686 0.011199593544006348
Epoch 400, normalising constant 0.998502790927887 0.018213331699371338
Epoch 500, normalising constant 0.9970815777778625 -0.03415834903717041
run 7 cop_u 3 DONE 890.41
Epoch 100, normalising constant 1.0010342597961426 0.0009108781814575195
Epoch 200, normalising constant 0.9976304769515991 0.0005782842636108398
Epoch 300, normalising constant 0.9941210746765137 0.0027663111686706543
Epoch 400, normalising constant 0.9921876788139343 -0.021305620670318604
Epoch 500, normalising constant 0.9904491901397705 -0.034146130084991455
run 8 cop_u 0 DONE 2309.4941
Epoch 100, normalising constant 0.994792640209198 -0.0004969239234924316
Epoch 200, normalising constant 0.9943205118179321 -1.8894672393798828e-05
Epoch 300, normalising constant 0.993650496006012 -0.002869129180908203
Epoch 400, normalising constant 0.9927118420600891 -0.01846104860305786
Epoch 500, normalising constant 0.9918085336685181 -0.03317826986312866
run 8 cop_u 1 DONE 2229.059
Epoch 100, normalising constant 1.0205283164978027 -0.0006638765335083008
Epoch 200, normalising constant 1.0174461603164673 0.007047474384307861
Epoch 300, normalising constant 1.0139150619506836 1.9609928131103516e-05
Epoch 400, normalising constant 1.0110352039337158 -0.015107929706573486
Epoch 500, normalising constant 1.0085784196853638 0.01769542694091797
run 8 cop_u 2 DONE 1721.6525
Epoch 100, normalising constant 1.0009920597076416 0.0012255311012268066
Epoch 200, normalising constant 1.0003383159637451 0.01773059368133545
Epoch 300, normalising constant 0.9995308518409729 0.006505727767944336
Epoch 400, normalising constant 0.9988413453102112 0.031988322734832764
Epoch 500, normalising constant 0.9984219670295715 0.03313630819320679
run 8 cop_u 3 DONE 2700.6177
Epoch 100, normalising constant 0.9882010817527771 0.003230154514312744
Epoch 200, normalising constant 0.9755315184593201 -0.008916735649108887
Epoch 300, normalising constant 0.9739333987236023 -0.03510516881942749
Epoch 400, normalising constant 0.9732087254524231 -0.03593236207962036
Epoch 500, normalising constant 0.9727792143821716 0.046893537044525146
run 9 cop_u 0 DONE 1445.9617
Epoch 100, normalising constant 1.0022400617599487 -8.565187454223633e-05
Epoch 200, normalising constant 1.0011250972747803 0.0001354217529296875
Epoch 300, normalising constant 1.000523567199707 0.0001830458641052246
Epoch 400, normalising constant 0.9993891716003418 -0.004798471927642822
Epoch 500, normalising constant 0.9979772567749023 0.02361053228378296
run 9 cop_u 1 DONE 1805.7656
Epoch 100, normalising constant 1.0152015686035156 0.0003833770751953125
Epoch 200, normalising constant 1.0083062648773193 -0.012745320796966553
Epoch 300, normalising constant 1.003404140472412 0.007661044597625732
Epoch 400, normalising constant 1.0008981227874756 -0.039870262145996094
Epoch 500, normalising constant 0.9991499185562134 -0.03814411163330078
run 9 cop_u 2 DONE 1860.6182
Epoch 100, normalising constant 0.9956287741661072 0.001246809959411621
Epoch 200, normalising constant 0.9936933517456055 0.0004957318305969238
Epoch 300, normalising constant 0.9924675822257996 0.0029584169387817383
Epoch 400, normalising constant 0.9914705157279968 0.010814070701599121
Epoch 500, normalising constant 0.9905211329460144 0.010679304599761963
run 9 cop_u 3 DONE 3215.9883
Epoch 100, normalising constant 1.007308840751648 -0.00030791759490966797
Epoch 200, normalising constant 1.0069438219070435 -0.00030982494354248047
Epoch 300, normalising constant 1.0059460401535034 -0.00035440921783447266
Epoch 400, normalising constant 1.0045835971832275 -0.006242275238037109
